Total_Distance,Distance,Altitude,Easting,Northing,Longitude,Latitude,V_max
25390.5,2620.1,541.6,2723631.9,1256709.1,9.078006,47.449549,
25400.5,2630.1,541.3,2723623.3,1256704,9.077891,47.449505,
25410.5,2640.1,541.6,2723614.8,1256698.7,9.077777,47.449459,
25420.5,2650.1,541.4,2723606.4,1256693.3,9.077664,47.449412,
25430.5,2660.1,541.2,2723598.1,1256687.7,9.077552,47.449363,
25440.5,2670.1,541.1,2723589.9,1256682,9.077442,47.449314,
25450.4,2680,541,2723581.7,1256676.3,9.077332,47.449264,
25460.5,2690.1,541,2723573.6,1256670.4,9.077223,47.449212,
25470.4,2700,541,2723565.6,1256664.5,9.077115,47.449161,
25480.4,2710,540.9,2723557.6,1256658.5,9.077007,47.449108,
25490.5,2720.1,540.9,2723549.6,1256652.4,9.0769,47.449055,
25500.5,2730.1,540.9,2723541.6,1256646.4,9.076792,47.449002,
25510.4,2740,540.9,2723533.7,1256640.3,9.076686,47.448949,
25520.4,2750,540.8,2723525.7,1256634.3,9.076578,47.448897,
25530.4,2760,540.8,2723517.8,1256628.2,9.076471,47.448843,
25540.4,2770,540.8,2723509.9,1256622.1,9.076365,47.44879,
25550.4,2780,540.8,2723501.9,1256616.1,9.076257,47.448737,
25560.4,2790,540.8,2723494,1256610,9.076151,47.448684,
25570.4,2800,540.7,2723486,1256603.9,9.076043,47.448631,
25580.4,2810,540.7,2723478.1,1256597.9,9.075937,47.448578,
25590.4,2820,540.7,2723470.1,1256591.8,9.075829,47.448525,
25600.4,2830,540.7,2723462.2,1256585.7,9.075723,47.448472,
25610.5,2840.1,540.7,2723454.2,1256579.6,9.075615,47.448418,
25620.4,2850,540.6,2723446.3,1256573.6,9.075509,47.448366,
25630.5,2860.1,540.6,2723438.3,1256567.5,9.075401,47.448312,
25640.5,2870.1,540.6,2723430.3,1256561.5,9.075293,47.44826,
25650.4,2880,540.5,2723422.4,1256555.4,9.075187,47.448207,
25660.4,2890,540.5,2723414.4,1256549.4,9.075079,47.448154,
25670.4,2900,540.4,2723406.5,1256543.3,9.074973,47.448101,
25680.4,2910,540.4,2723398.5,1256537.3,9.074865,47.448048,
25690.5,2920.1,540.4,2723390.5,1256531.2,9.074757,47.447995,
25700.5,2930.1,540.4,2723382.5,1256525.2,9.074649,47.447943,
25710.4,2940,540.4,2723374.6,1256519.2,9.074543,47.44789,
25720.4,2950,540.4,2723366.6,1256513.2,9.074435,47.447838,
25730.5,2960.1,540.4,2723358.6,1256507.1,9.074328,47.447784,
25740.5,2970.1,540.3,2723350.6,1256501.1,9.07422,47.447732,
25750.5,2980.1,540.3,2723342.6,1256495.1,9.074112,47.447679,
25760.5,2990.1,540.3,2723334.6,1256489.1,9.074004,47.447627,
25770.5,3000.1,540.3,2723326.6,1256483.1,9.073897,47.447574,125
25780.4,3010,540.3,2723318.6,1256477.2,9.073789,47.447523,
25790.4,3020,540.2,2723310.6,1256471.2,9.073681,47.44747,
25800.5,3030.1,540.2,2723302.5,1256465.2,9.073572,47.447418,
25810.4,3040,540.2,2723294.5,1256459.3,9.073465,47.447366,
25820.4,3050,540.2,2723286.5,1256453.3,9.073357,47.447314,
25830.4,3060,540.2,2723278.5,1256447.3,9.073249,47.447262,
25840.4,3070,540.1,2723270.4,1256441.4,9.07314,47.44721,
25850.4,3080,540.2,2723262.4,1256435.4,9.073033,47.447158,
25860.4,3090,540.1,2723254.4,1256429.4,9.072925,47.447105,
25870.4,3100,540.1,2723246.4,1256423.4,9.072817,47.447053,
25880.5,3110.1,540.1,2723238.3,1256417.5,9.072708,47.447001,
25890.5,3120.1,540.1,2723230.3,1256411.5,9.0726,47.446949,
25900.5,3130.1,540.1,2723222.3,1256405.5,9.072493,47.446896,
25910.4,3140,540,2723214.3,1256399.6,9.072385,47.446845,
25920.4,3150,540,2723206.3,1256393.6,9.072277,47.446792,
25930.5,3160.1,540,2723198.2,1256387.6,9.072168,47.44674,
25940.4,3170,540,2723190.2,1256381.7,9.072061,47.446688,
25950.4,3180,539.9,2723182.2,1256375.7,9.071953,47.446636,
25960.4,3190,540,2723174.2,1256369.7,9.071845,47.446583,
25970.4,3200,540,2723166.1,1256363.8,9.071736,47.446532,
25980.4,3210,539.9,2723158.1,1256357.8,9.071629,47.446479,
25990.4,3220,540,2723150.1,1256351.8,9.071521,47.446427,
26000.4,3230,540,2723142.1,1256345.8,9.071413,47.446374,
26010.5,3240.1,539.9,2723134,1256339.9,9.071304,47.446323,
26020.5,3250.1,539.9,2723126,1256333.9,9.071196,47.44627,
26030.4,3260,540,2723118,1256328,9.071089,47.446219,
26040.5,3270.1,539.9,2723109.9,1256322,9.07098,47.446166,
26050.4,3280,540,2723101.8,1256316.2,9.070871,47.446116,
26060.4,3290,540,2723093.7,1256310.4,9.070762,47.446065,
26070.5,3300.1,540,2723085.4,1256304.7,9.07065,47.446015,
26080.5,3310.1,539.9,2723077.1,1256299.1,9.070539,47.445967,
26090.5,3320.1,539.9,2723068.7,1256293.7,9.070426,47.44592,
26100.4,3330,540,2723060.3,1256288.4,9.070313,47.445874,
26110.4,3340,540,2723051.7,1256283.3,9.070198,47.445829,
26120.4,3350,540.3,2723043,1256278.3,9.070081,47.445786,
26130.4,3360,539.9,2723034.2,1256273.6,9.069963,47.445745,
26140.4,3370,540.2,2723025.3,1256269,9.069844,47.445706,
26150.5,3380.1,540.2,2723016.3,1256264.6,9.069723,47.445668,
26160.5,3390.1,540.3,2723007.2,1256260.4,9.069601,47.445632,
26170.4,3400,540.2,2722998.1,1256256.4,9.06948,47.445597,
26180.5,3410.1,540.3,2722988.8,1256252.6,9.069355,47.445565,
26190.4,3420,540.3,2722979.5,1256249,9.069231,47.445534,
26200.4,3430,540.3,2722970.1,1256245.6,9.069106,47.445506,
26210.5,3440.1,540.3,2722960.6,1256242.4,9.068979,47.445479,
26220.4,3450,540.3,2722951.1,1256239.3,9.068852,47.445452,
26230.4,3460,540.3,2722941.5,1256236.5,9.068724,47.445429,
26240.4,3470,539.8,2722931.9,1256233.9,9.068596,47.445407,
26250.4,3480,539.9,2722922.2,1256231.5,9.068467,47.445388,
26257.5,3487.1,539.9,2722915.3,1256229.9,9.068375,47.445375,
26267.5,10,539.9,2722905.5,1256227.8,9.068244,47.445358,
26277.5,20,539.8,2722895.7,1256225.9,9.068114,47.445342,
26287.4,29.9,540.2,2722885.9,1256224.3,9.067984,47.44533,
26297.4,39.9,539.9,2722876,1256222.8,9.067852,47.445318,
26307.5,50,539.8,2722866,1256221.6,9.067719,47.445309,
26317.5,60,540.3,2722856.1,1256220.5,9.067588,47.445301,
26327.5,70,539.9,2722846.1,1256219.7,9.067455,47.445296,
26337.4,79.9,540.1,2722836.2,1256219.1,9.067323,47.445292,
26347.4,89.9,540.3,2722826.2,1256218.7,9.067191,47.445291,
26357.4,99.9,540.3,2722816.2,1256218.4,9.067058,47.44529,
26367.4,109.9,540.3,2722806.2,1256218.4,9.066926,47.445292,
26377.4,119.9,540.3,2722796.2,1256218.7,9.066793,47.445296,
26387.5,130,540.1,2722786.2,1256219.1,9.066661,47.445302,
26397.5,140,539.9,2722776.2,1256219.7,9.066528,47.445309,
26407.5,150,540.3,2722766.2,1256220.5,9.066396,47.445318,
26417.5,160,539.9,2722756.3,1256221.6,9.066265,47.44533,
26427.4,169.9,540.3,2722746.4,1256222.8,9.066134,47.445342,
26437.5,180,539.6,2722736.5,1256224.3,9.066003,47.445358,
26447.5,190,539.6,2722726.6,1256226,9.065873,47.445375,
26457.5,200,540,2722716.8,1256227.8,9.065743,47.445393,
26467.5,210,540,2722707,1256229.9,9.065614,47.445413,
26477.5,220,539.9,2722697.3,1256232.2,9.065486,47.445436,
26487.5,230,539.9,2722687.6,1256234.7,9.065358,47.44546,
26497.4,239.9,539.9,2722678,1256237.4,9.065231,47.445486,
26507.4,249.9,539.8,2722668.4,1256240.2,9.065105,47.445513,
26517.5,260,540.1,2722658.8,1256243.2,9.064979,47.445542,
26527.5,270,540.1,2722649.3,1256246.4,9.064854,47.445573,
26537.5,280,540.1,2722639.9,1256249.6,9.06473,47.445603,
26547.4,289.9,540.1,2722630.5,1256253,9.064606,47.445635,
26557.4,299.9,540.1,2722621.1,1256256.4,9.064482,47.445668,
26567.5,310,540.1,2722611.7,1256259.9,9.064359,47.445701,
26577.5,320,540.1,2722602.3,1256263.4,9.064235,47.445734,
26587.4,329.9,540.1,2722593,1256266.9,9.064113,47.445767,
26597.5,340,540.1,2722583.6,1256270.4,9.063989,47.445801,
26607.5,350,540.1,2722574.2,1256273.9,9.063866,47.445834,
26617.4,359.9,540.1,2722564.9,1256277.4,9.063743,47.445867,
26627.5,370,540.1,2722555.5,1256280.9,9.06362,47.4459,
26637.5,380,540.1,2722546.1,1256284.4,9.063496,47.445934,
26647.4,389.9,540.1,2722536.8,1256287.9,9.063374,47.445967,
26657.5,400,540.1,2722527.4,1256291.4,9.06325,47.446,
26667.5,410,540.1,2722518,1256294.9,9.063126,47.446033,
26677.4,419.9,540.1,2722508.7,1256298.4,9.063004,47.446066,
26687.5,430,540.1,2722499.3,1256301.9,9.06288,47.4461,
26697.5,440,540.1,2722489.9,1256305.4,9.062757,47.446133,
26707.4,449.9,540.1,2722480.6,1256308.9,9.062634,47.446166,
26717.5,460,540.1,2722471.2,1256312.4,9.062511,47.446199,
26727.5,470,540.1,2722461.8,1256316,9.062387,47.446233,
26737.5,480,540.3,2722452.5,1256319.5,9.062265,47.446267,
26747.5,490,540.4,2722443.1,1256323,9.062141,47.4463,
26757.5,500,540.5,2722433.7,1256326.5,9.062018,47.446333,
26767.5,510,540.5,2722424.4,1256330,9.061895,47.446366,
26777.5,520,540.6,2722415,1256333.5,9.061772,47.446399,
26787.5,530,540.8,2722405.6,1256337,9.061648,47.446433,
26797.5,540,540.8,2722396.3,1256340.5,9.061526,47.446466,
26807.5,550,540.9,2722386.9,1256344,9.061402,47.446499,
26817.5,560,541,2722377.5,1256347.5,9.061278,47.446532,
26827.5,570,541.1,2722368.2,1256351,9.061156,47.446566,
26837.5,580,541.2,2722358.8,1256354.5,9.061032,47.446599,
26847.4,589.9,541.3,2722349.5,1256358,9.06091,47.446632,
26857.5,600,541.3,2722340.1,1256361.5,9.060786,47.446665,
26867.5,610,541.4,2722330.7,1256365,9.060663,47.446698,
26877.4,619.9,541.6,2722321.4,1256368.5,9.060541,47.446732,
26887.5,630,541.7,2722312,1256372,9.060417,47.446765,
26897.5,640,541.8,2722302.6,1256375.5,9.060293,47.446798,
26907.4,649.9,541.9,2722293.3,1256379,9.060171,47.446831,
26917.5,660,542,2722283.9,1256382.5,9.060047,47.446864,
26927.5,670,542.1,2722274.5,1256386,9.059924,47.446898,
26937.5,680,542.2,2722265.2,1256389.6,9.059801,47.446932,
26947.5,690,542.4,2722255.8,1256393.1,9.059678,47.446965,
26957.5,700,542.4,2722246.4,1256396.6,9.059554,47.446998,
26967.5,710,542.5,2722237.1,1256400.1,9.059432,47.447031,
26977.5,720,542.6,2722227.7,1256403.6,9.059308,47.447065,
26987.5,730,542.8,2722218.3,1256407.1,9.059184,47.447098,
26997.5,740,542.9,2722209,1256410.6,9.059062,47.447131,
27007.5,750,542.9,2722199.6,1256414.1,9.058938,47.447164,
27017.5,760,543,2722190.2,1256417.6,9.058815,47.447197,
27027.4,769.9,543.1,2722180.9,1256421.1,9.058693,47.447231,
27037.5,780,543.3,2722171.5,1256424.6,9.058569,47.447264,
27047.5,790,543.3,2722162.1,1256428.1,9.058445,47.447297,
27057.4,799.9,543.4,2722152.8,1256431.6,9.058323,47.44733,
27067.5,810,543.5,2722143.4,1256435.1,9.058199,47.447364,
27077.5,820,543.5,2722134,1256438.6,9.058076,47.447397,
27087.5,830,543.6,2722124.6,1256442,9.057952,47.447429,
27097.5,840,543.8,2722115.2,1256445.3,9.057828,47.44746,
27107.4,849.9,543.9,2722105.8,1256448.6,9.057705,47.447492,
27117.5,860,544,2722096.3,1256451.8,9.057579,47.447522,
27127.5,870,544.1,2722086.7,1256454.8,9.057453,47.447551,
27137.4,879.9,544.2,2722077.2,1256457.7,9.057328,47.447579,
27147.5,890,544.2,2722067.5,1256460.4,9.0572,47.447605,
27157.4,899.9,544.5,2722057.9,1256462.9,9.057073,47.447629,
27167.5,910,544.6,2722048.1,1256465.2,9.056944,47.447652,
27177.4,919.9,544.7,2722038.4,1256467.3,9.056816,47.447673,
27187.5,930,544.8,2722028.5,1256469.3,9.056685,47.447692,
27197.5,940,544.8,2722018.7,1256471,9.056556,47.447709,
27207.5,950,544.8,2722008.8,1256472.5,9.056425,47.447725,
27217.5,960,545.1,2721998.9,1256473.8,9.056294,47.447738,
27227.4,969.9,545.2,2721989,1256474.9,9.056163,47.44775,
27237.5,980,545.3,2721979,1256475.8,9.056031,47.44776,
27247.5,990,545.2,2721969,1256476.6,9.055899,47.447769,
27257.5,1000,545.5,2721959,1256477.1,9.055766,47.447775,
27267.5,1010,545.6,2721949,1256477.4,9.055634,47.44778,
27277.5,1020,545.7,2721939,1256477.4,9.055501,47.447782,
27287.5,1030,545.8,2721929,1256477.3,9.055369,47.447783,
27297.5,1040,545.9,2721919,1256477,9.055236,47.447782,
27307.4,1049.9,545.9,2721909.1,1256476.5,9.055105,47.447779,
27317.5,1060,546.1,2721899.1,1256475.8,9.054972,47.447775,
27327.5,1070,546.3,2721889.1,1256474.9,9.054839,47.447769,
27337.5,1080,546.4,2721879.2,1256473.7,9.054708,47.44776,
27347.5,1090,546.3,2721869.3,1256472.4,9.054576,47.44775,
27357.5,1100,546.4,2721859.4,1256470.9,9.054444,47.447738,
27367.4,1109.9,546.6,2721849.6,1256469.1,9.054314,47.447724,
27377.5,1120,546.7,2721839.7,1256467.2,9.054182,47.447708,
27387.4,1129.9,546.8,2721830,1256465.1,9.054053,47.447691,
27397.5,1140,546.8,2721820.2,1256462.7,9.053922,47.447672,
27407.5,1150,546.8,2721810.6,1256460.2,9.053795,47.447651,
27417.5,1160,547,2721800.9,1256457.5,9.053665,47.447628,
27427.5,1170,547,2721791.4,1256454.6,9.053538,47.447604,
27437.5,1180,547.3,2721781.8,1256451.6,9.05341,47.447579,
27447.4,1189.9,547.3,2721772.4,1256448.4,9.053285,47.447552,
27457.5,1200,547.4,2721762.9,1256445.2,9.053158,47.447525,
27467.5,1210,547.5,2721753.5,1256441.8,9.053033,47.447496,
27477.5,1220,547.6,2721744.1,1256438.4,9.052907,47.447467,
27487.5,1230,547.7,2721734.7,1256435,9.052782,47.447438,
27497.4,1239.9,547.7,2721725.3,1256431.6,9.052656,47.44741,
27507.5,1250,547.8,2721715.9,1256428.1,9.05253,47.44738,
27517.5,1260,548,2721706.5,1256424.6,9.052405,47.44735,
27527.5,1270,548.1,2721697.1,1256421.2,9.052279,47.447321,
27537.4,1279.9,548.1,2721687.8,1256417.7,9.052155,47.447292,
27547.4,1289.9,548.3,2721678.4,1256414.3,9.05203,47.447263,
27557.5,1300,548.4,2721669,1256410.8,9.051904,47.447233,
27567.5,1310,548.4,2721659.6,1256407.4,9.051778,47.447204,
27577.5,1320,548.5,2721650.2,1256403.9,9.051653,47.447174,
27587.5,1330,548.7,2721640.8,1256400.5,9.051527,47.447146,
27597.5,1340,548.8,2721631.4,1256397.1,9.051402,47.447117,
27607.4,1349.9,548.7,2721622,1256393.8,9.051276,47.447089,
27617.5,1360,549,2721612.5,1256390.5,9.05115,47.447061,
27627.5,1370,548.9,2721603,1256387.4,9.051023,47.447035,
27637.5,1380,549.1,2721593.5,1256384.4,9.050896,47.44701,
27647.5,1390,549,2721583.9,1256381.5,9.050768,47.446985,
27657.4,1399.9,549.2,2721574.3,1256378.9,9.05064,47.446964,
27667.5,1410,549.3,2721564.6,1256376.4,9.050511,47.446943,
27677.5,1420,549.3,2721554.8,1256374.2,9.05038,47.446925,
27687.5,1430,549.5,2721545,1256372.2,9.05025,47.446909,
27697.5,1440,549.6,2721535.2,1256370.4,9.050119,47.446894,
27707.5,1450,549.8,2721525.3,1256368.8,9.049988,47.446882,
27717.5,1460,549.7,2721515.4,1256367.4,9.049856,47.446871,
27727.5,1470,550,2721505.5,1256366.2,9.049725,47.446862,
27737.5,1480,550.1,2721495.5,1256365.2,9.049592,47.446855,
27747.4,1489.9,550.3,2721485.6,1256364.5,9.04946,47.44685,
27757.4,1499.9,550.4,2721475.6,1256364,9.049328,47.446848,
27767.5,1510,550.3,2721465.6,1256363.7,9.049195,47.446847,
27777.5,1520,550.4,2721455.6,1256363.6,9.049062,47.446848,
27787.5,1530,550.5,2721445.6,1256363.7,9.04893,47.446851,
27797.5,1540,550.8,2721435.6,1256364.1,9.048797,47.446856,
27807.5,1550,551,2721425.6,1256364.6,9.048665,47.446862,
27817.5,1560,550.9,2721415.6,1256365.4,9.048533,47.446872,
27827.5,1570,551.2,2721405.7,1256366.4,9.048402,47.446882,
27837.4,1579.9,551.1,2721395.8,1256367.6,9.048271,47.446895,
27847.4,1589.9,551.3,2721385.9,1256369.1,9.04814,47.44691,
27857.5,1600,551.6,2721376,1256370.7,9.048009,47.446926,
27867.5,1610,551.7,2721366.2,1256372.6,9.04788,47.446945,
27877.5,1620,551.8,2721356.4,1256374.7,9.04775,47.446966,
27887.4,1629.9,551.9,2721346.7,1256377,9.047622,47.446989,
27897.5,1640,551.8,2721337,1256379.5,9.047495,47.447013,
27907.4,1649.9,552.1,2721327.4,1256382.2,9.047368,47.447039,
27917.5,1660,552.1,2721317.8,1256385.1,9.047242,47.447067,
27927.5,1670,552.2,2721308.3,1256388.2,9.047117,47.447096,
27937.4,1679.9,552.2,2721298.9,1256391.5,9.046993,47.447128,
27947.5,1690,552.4,2721289.5,1256395.1,9.046869,47.447162,
27957.5,1700,552.7,2721280.2,1256398.8,9.046747,47.447197,
27967.5,1710,552.9,2721271,1256402.8,9.046626,47.447234,
27977.5,1720,552.7,2721261.9,1256406.9,9.046507,47.447273,
27987.5,1730,552.8,2721252.9,1256411.2,9.046388,47.447313,
27997.5,1740,552.9,2721244,1256415.8,9.046272,47.447356,
28007.5,1750,553.3,2721235.2,1256420.5,9.046156,47.4474,
28017.5,1760,553.2,2721226.5,1256425.4,9.046042,47.447446,
28027.5,1770,553.2,2721217.9,1256430.5,9.04593,47.447493,
28037.5,1780,553.2,2721209.4,1256435.8,9.045818,47.447543,
28047.5,1790,553.3,2721201,1256441.2,9.045709,47.447593,
28057.4,1799.9,553.6,2721192.8,1256446.9,9.045601,47.447645,
28067.4,1809.9,553.6,2721184.7,1256452.7,9.045496,47.447699,
28077.4,1819.9,553.8,2721176.7,1256458.7,9.045391,47.447755,
28087.5,1830,553.8,2721168.8,1256464.9,9.045288,47.447812,
28097.5,1840,553.7,2721161.1,1256471.3,9.045188,47.447871,
28107.5,1850,553.8,2721153.5,1256477.8,9.045089,47.447931,
28117.5,1860,554.1,2721146,1256484.5,9.044991,47.447992,
28127.5,1870,554.2,2721138.7,1256491.3,9.044896,47.448055,
28137.5,1880,554.3,2721131.6,1256498.3,9.044804,47.448119,
28147.4,1889.9,554.4,2721124.6,1256505.4,9.044713,47.448184,
28157.4,1899.9,554.3,2721117.8,1256512.7,9.044625,47.448251,
28167.5,1910,554.7,2721111.1,1256520.2,9.044538,47.44832,
28177.4,1919.9,554.6,2721104.6,1256527.7,9.044454,47.448388,
28187.5,1930,554.9,2721098.2,1256535.5,9.044371,47.44846,
28197.5,1940,554.9,2721092,1256543.3,9.044291,47.448531,
28207.5,1950,555,2721086,1256551.3,9.044214,47.448604,
28217.5,1960,555.2,2721080.1,1256559.4,9.044138,47.448678,
28227.5,1970,555.3,2721074.5,1256567.7,9.044066,47.448753,
28237.4,1979.9,555.4,2721069,1256576,9.043995,47.448829,
28247.5,1990,555.3,2721063.7,1256584.5,9.043927,47.448907,
28257.5,2000,555.6,2721058.5,1256593.1,9.043861,47.448985,
28267.5,2010,555.4,2721053.6,1256601.8,9.043798,47.449064,
28277.5,2020,555.8,2721048.9,1256610.6,9.043738,47.449144,
28287.5,2030,555.9,2721044.3,1256619.5,9.04368,47.449225,
28297.5,2040,555.7,2721039.9,1256628.5,9.043624,47.449307,
28307.5,2050,555.8,2721035.8,1256637.6,9.043572,47.449389,
28317.4,2059.9,555.9,2721031.8,1256646.7,9.043521,47.449472,
28327.5,2070,556.1,2721028,1256656,9.043474,47.449556,
28337.4,2079.9,556.4,2721024.5,1256665.3,9.04343,47.44964,
28347.5,2090,556.5,2721021.1,1256674.8,9.043387,47.449726,
28357.5,2100,556.4,2721018,1256684.3,9.043349,47.449812,
