Time [s],Position [m],Velocity [m/s],Force (acc) [N],Force (rgb) [N],Force (pnb) [N],Energy [kWh],CPU Time [s]
224.1849612,6694.207787,37.30254757,34893.83163,0,0,440.1414723,4.9616732
228.8449764,6868.803856,37.34758457,18783.21665,0,0,440.1414723,4.9616732
233.5774056,7044.78932,37.30259135,34273.46337,0,0,440.1414723,4.9616732
238.3111289,7222.120755,37.34749461,19357.24388,0,0,440.1414723,4.9616732
243.1140961,7400.75441,37.30271845,33741.93136,0,0,440.1414723,4.9616732
247.9168161,7580.646207,37.34733618,19849.68949,0,0,440.1414723,4.9616732
252.7856197,7761.751762,37.30290066,33285.41802,0,0,440.1414723,4.9616732
257.6525599,7944.02639,37.34713364,20273.08477,0,0,440.1414723,4.9616732
262.5824306,8127.425116,37.30311713,32892.54486,0,0,440.1414723,4.9616732
267.5087532,8311.902691,37.34690503,20637.76669,0,0,440.1414723,4.9616732
272.4948594,8497.413597,37.30335236,32553.91019,0,0,440.1414723,4.9616732
277.4756703,8683.912062,37.34666384,20952.29273,0,0,440.1414723,4.9616732
282.5131228,8871.35207,37.30359474,32261.71453,0,0,440.1414723,4.9616732
287.543476,9059.687374,37.34642017,21223.77594,0,0,440.1414723,4.9616732
292.6273331,9248.871504,37.30383553,32009.46396,0,0,440.1414723,4.9616732
297.7022354,9438.857782,37.34618169,21458.14986,0,0,440.1414723,4.9616732
302.8275079,9629.599332,37.30406807,31791.73023,0,0,440.1414723,4.9616732
307.9419237,9821.04909,37.34595423,21660.38411,0,0,440.1414723,4.9616732
313.1035803,10013.15982,37.30428729,31603.95809,0,0,440.1414723,4.9616732
318.2524363,10205.88412,37.34574225,21834.65792,0,0,440.1414723,4.9616732
323.4454083,10399.17444,37.30448925,31442.30935,0,0,440.1414723,4.9616732
328.6235987,10592.98309,37.34554927,21984.49932,0,0,440.1414723,4.9616732
333.8427852,10787.26225,37.30467085,31303.53679,0,0,440.1414723,4.9616732
339.0451762,10981.96398,37.34537805,22112.90042,0,0,440.1414723,4.9616732
344.2854495,11177.04025,37.3048296,31184.88002,0,0,440.1414723,4.9616732
349.5068846,11372.44291,37.34523088,22222.41075,0,0,440.1414723,4.9616732
354.763095,11568.12377,37.30496342,31083.98115,0,0,440.1414723,4.9616732
359.9983999,11764.03453,37.34510969,22315.21399,0,0,440.1414723,4.9616732
365.265381,11960.12686,37.3050705,30998.8141,0,0,440.1414723,4.9616732
370.5093687,12156.35238,37.34501619,22393.19356,0,0,440.1414723,4.9616732
375.7819427,12352.66267,37.3051492,30927.62464,0,0,440.1414723,4.9616732
381.0294184,12549.00929,37.34495201,22457.98738,0,0,440.1414723,4.9616732
386.3024009,12745.3438,37.30519791,30868.87924,0,0,440.1414723,4.9616732
391.5481673,12941.61775,37.34491876,22511.03567,0,0,440.1414723,4.9616732
396.816373,13137.78273,37.305215,30821.22065,0,0,440.1414723,4.9616732
402.0552351,13333.79032,37.34491811,22553.62282,0,0,440.1414723,4.9616732
407.3134824,13529.59217,37.30519874,30783.42771,0,0,440.1414723,4.9616732
412.5402529,13725.13996,37.34495191,22586.91684,0,0,440.1414723,4.9616732
417.7833694,13920.38545,37.30514718,30754.37601,0,0,440.1414723,4.9616732
422.9928736,14115.28045,37.34502223,22612.00834,0,0,440.1414723,4.9616732
428.2157013,14309.7769,37.30505812,30732.99953,0,0,440.1414723,4.9616732
433.4027821,14503.82679,37.34513145,22629.94934,0,0,440.1414723,4.9616732
438.6001821,14697.38224,37.304929,30718.24934,0,0,440.1414723,4.9616732
443.7597053,14890.39551,37.34528236,22641.79772,0,0,440.1414723,4.9616732
448.9265633,15082.81896,37.30475678,30709.04664,0,0,440.1414723,4.9616732
454.0534225,15274.60512,37.3454783,22648.66838,0,0,440.1414723,4.9616732
459.1846538,15465.70667,37.30453787,30704.2236,0,0,440.1414723,4.9616732
464.2737754,15656.07645,37.34572321,22651.8014,0,0,440.1414723,4.9616732
469.3643296,15845.6675,37.30426795,30702.44788,0,0,440.1414723,4.9616732
474.410678,16034.43304,37.34602185,22652.64808,0,0,440.1414723,4.9616732
479.4555443,16222.32649,37.30394188,30702.11805,0,0,440.1414723,4.9616732
484.4541268,16409.3015,37.34637986,22652.99864,0,0,440.1414723,4.9616732
489.4483387,16595.31192,37.30355354,30701.21149,0,0,440.1414723,4.9616732
494.3942104,16780.31186,37.34680393,22655.16516,0,0,440.1414723,4.9616732
499.3328509,16964.25569,37.30309583,30697.0576,0,0,440.1414723,4.9616732
504.2211194,17147.098,37.34730154,22662.26434,0,0,440.1414723,4.9616732
509.0993254,17328.7937,37.30256117,30685.98822,0,0,440.1414723,4.9616732
513.9251564,17509.29794,37.34788008,22678.65073,0,0,440.1414723,4.9616732
518.7381235,17688.5662,37.30194337,30662.79928,0,0,440.1414723,4.9616732
523.4967452,17866.55423,37.34854301,22710.56978,0,0,440.1414723,4.9616732
528.2397321,18043.21813,37.30124482,30619.98839,0,0,440.1414723,4.9616732
532.9264406,18218.5143,37.34927627,22766.97666,0,0,440.1414723,4.9616732
537.5947733,18392.3995,37.30050233,30546.90738,0,0,440.1414723,4.9616732
542.204938,18564.83081,37.35000013,22861.17499,0,0,440.1414723,4.9616732
546.7940127,18735.7657,37.29985706,30417.40971,0,0,440.1414723,4.9616732
551.3230838,18905.16199,37.35068104,23150.51545,0,0,440.1414723,4.9616732
555.8283657,19072.97788,37.29540897,27567.14754,0,0,440.1414723,4.9616732
560.277511,19239.17197,37.22173671,0.000465908,0,0,440.1414723,4.9616732
564.7281184,19403.70325,36.85417424,0,0,0,440.1414723,4.9616732
569.150752,19566.53112,36.64462627,0,0,0,440.1414723,4.9616732
573.5750067,19727.61542,36.30744663,0,0,0,440.1414723,4.9616732
577.9675496,19886.91639,36.09443918,0,0,0,440.1414723,4.9616732
582.3579386,20044.39473,35.77244033,0,0,0,440.1414723,4.9616732
586.713226,20200.01158,35.56209791,0,0,0,440.1414723,4.9616732
591.0623242,20353.72855,35.25223843,0,0,0,440.1414723,4.9616732
595.3729069,20505.50771,35.04657415,0,0,0,440.1414723,4.9616732
599.6731238,20655.31161,34.74768469,0,0,0,440.1414723,4.9616732
603.9313488,20803.1033,34.54769487,0,0,0,440.1414723,4.9616732
608.1749219,20948.84629,34.2592072,0,0,0,440.1414723,4.9616732
612.37296,21092.50464,34.06549307,0,0,0,440.1414723,4.9616732
616.5519681,21234.0429,33.78710112,0,0,0,440.1414723,4.9616732
620.6818358,21373.42615,33.60007028,0,0,0,440.1414723,4.9616732
624.7882179,21510.61999,33.33160406,0,0,0,440.1414723,4.9616732
628.8418003,21645.59058,33.15155428,0,0,0,440.1414723,4.9616732
632.8673782,21778.30461,32.8929229,0,0,0,440.1414723,4.9616732
636.8364536,21908.72934,32.72008304,0,0,0,440.1414723,4.9616732
640.7729569,22036.83258,32.47124546,0,0,0,440.1414723,4.9616732
644.6492232,22162.58274,32.30579769,0,0,0,440.1414723,4.9616732
648.4883165,22285.94878,32.06674626,0,0,0,440.1414723,4.9616732
652.2634207,22406.90026,31.90883914,0,0,0,440.1414723,4.9616732
655.9967339,22525.40734,31.67958975,0,0,0,440.1414723,4.9616732
659.6623029,22641.44079,31.5293464,0,0,0,440.1414723,4.9616732
663.2814633,22754.97197,31.30993218,0,0,0,440.1414723,4.9616732
666.8291377,22865.97286,31.16745556,0,0,0,440.1414723,4.9616732
670.3258044,22974.41609,30.95792278,0,0,0,440.1414723,4.9616732
673.747274,23080.2749,30.82329929,0,0,0,440.1414723,4.9616732
677.1131746,23183.52316,30.62370455,0,0,0,440.1414723,4.9616732
680.4002161,23284.1354,30.4970064,0,0,0,440.1414723,4.9616732
683.6271847,23382.0868,30.30741466,0,0,0,440.1414723,4.9616732
686.7717007,23477.35319,30.1887015,0,0,0,440.1414723,4.9616732
689.8517182,23569.91106,30.00918477,0,0,0,440.1414723,4.9616732
692.8457783,23659.73758,29.89850473,0,0,0,440.1414723,4.9616732
695.7710134,23746.81057,29.7291411,0,0,0,440.1414723,4.9616732
698.6068963,23831.10857,29.62653138,0,0,0,440.1414723,4.9616732
701.369748,23912.61077,29.46740449,0,0,0,440.1414723,4.9616732
704.0399838,23991.29706,29.37289157,0,0,0,440.1414723,4.9616732
706.6331242,24067.14802,29.22409028,0,0,0,440.1414723,4.9616732
709.1305385,24140.14494,29.13768976,0,0,0,440.1414723,4.9616732
711.5469559,24210.26981,28.99930823,0,0,0,440.1414723,4.9616732
713.8647125,24277.50533,28.92102431,0,0,0,440.1414723,4.9616732
716.0977542,24341.8349,28.79316233,0,0,0,440.1414723,4.9616732
718.2293986,24403.24266,28.7229869,0,0,0,440.1414723,4.9616732
720.2728131,24461.71346,28.60575072,0,0,0,440.1414723,4.9616732
722.2123142,24517.23286,28.54366185,0,0,0,440.1414723,4.9616732
724.0602918,24569.78717,28.43716558,0,0,0,440.1414723,4.9616732
725.8020825,24619.36342,28.38312532,0,0,0,440.1414723,4.9616732
727.4492943,24665.94938,28.28749326,0,0,0,440.1414723,4.9616732
728.988311,24709.53356,28.24144428,0,0,0,440.1414723,4.9616732
730.4299451,24750.1052,28.15681465,0,0,0,440.1414723,4.9616732
731.7616633,24787.65428,28.11867503,0,0,0,440.1414723,4.9616732
732.9934585,24822.17156,28.04520618,0,0,0,440.1414723,4.9616732
734.1139276,24853.6485,28.01486097,0,0,0,440.1414723,4.9616732
735.1322024,24882.07735,27.95274198,0,0,0,440.1414723,4.9616732
736.0380764,24907.4511,27.93002854,0,0,0,440.1414723,4.9616732
736.8397538,24929.76347,27.87949911,0,0,0,440.1414723,4.9616732
737.5283205,24949.00897,27.86417839,0,0,0,440.1414723,4.9616732
738.1109457,24965.18286,27.82557076,0,0,0,440.1414723,4.9616732
738.5801571,24978.28116,27.81726156,0,0,0,440.1414723,4.9616732
738.9419032,24988.30068,27.79111059,0,0,0,440.1414723,4.9616732
739.1904274,24995.23915,27.78908225,0,0,0,440.1414723,4.9616732
739.3301126,24999.09638,27.7765938,0,0,0,440.1414723,4.9616732
739.362304,25000,27.77777792,0,0,0,440.1414723,4.9616732
739.362304,25000,27.77777778,17913.952,0,0,440.1414723,4.9616732
739.3953374,25000.9176,27.77777778,17913.99475,0,0,440.1414723,4.9616732
739.4730342,25003.07584,27.77777778,17914.00475,0,0,440.1414723,4.9616732
739.5951275,25006.46732,27.77777778,17913.99958,0,0,440.1414723,4.9616732
739.761578,25011.09095,27.77777778,17914.00065,0,0,440.1414723,4.9616732
739.9723428,25016.94552,27.77777778,17913.99993,0,0,440.1414723,4.9616732
740.2273695,25024.0296,27.77777778,17914.00012,0,0,440.1414723,4.9616732
740.5265949,25032.34141,27.77777778,17914.00001,0,0,440.1414723,4.9616732
740.8699452,25041.87892,27.77777778,17913.99997,0,0,440.1414723,4.9616732
741.2573355,25052.63977,27.77777778,17914.00003,0,0,440.1414723,4.9616732
741.6886704,25064.62129,27.77777778,17913.99992,0,0,440.1414723,4.9616732
742.1638433,25077.82054,27.77777778,17914.00004,0,0,440.1414723,4.9616732
742.682737,25092.23425,27.77777778,17913.9999,0,0,440.1414723,4.9616732
743.2452235,25107.85888,27.77777778,17914.00005,0,0,440.1414723,4.9616732
743.851164,25124.69056,27.77777778,17913.99989,0,0,440.1414723,4.9616732
744.500409,25142.72514,27.77777778,17914.00005,0,0,440.1414723,4.9616732
745.1927982,25161.95817,27.77777778,17913.99989,0,0,440.1414723,4.9616732
745.9281609,25182.38492,27.77777778,17914.00005,0,0,440.1414723,4.9616732
746.7063156,25204.00032,27.77777778,17913.99988,0,0,440.1414723,4.9616732
747.5270703,25226.79907,27.77777778,17914.00004,0,0,440.1414723,4.9616732
748.3902225,25250.77552,27.77777778,17913.99988,0,0,440.1414723,4.9616732
749.2955592,25275.92376,27.77777778,17914.00004,0,0,440.1414723,4.9616732
750.2428571,25302.23759,27.77777778,17913.99989,0,0,440.1414723,4.9616732
751.2318824,25329.71051,27.77777778,17914.00004,0,0,440.1414723,4.9616732
752.262391,25358.33575,27.77777778,17913.99989,0,0,440.1414723,4.9616732
753.3341288,25388.10625,27.77777778,17914.00004,0,0,440.1414723,4.9616732
754.4468313,25419.01465,27.77777778,17913.99989,0,0,440.1414723,4.9616732
755.600224,25451.05334,27.77777778,17914.00004,0,0,440.1414723,4.9616732
756.7940222,25484.2144,27.77777778,17913.99989,0,0,440.1414723,4.9616732
758.0279314,25518.48965,27.77777778,17914.00003,0,0,440.1414723,4.9616732
759.3016472,25553.87065,27.77777778,17913.99989,0,0,440.1414723,4.9616732
760.6148553,25590.34865,27.77777778,17914.00003,0,0,440.1414723,4.9616732
761.9672316,25627.91466,27.77777778,17913.99989,0,0,440.1414723,4.9616732
763.3584426,25666.55941,27.77777778,17914.00003,0,0,440.1414723,4.9616732
764.7881449,25706.27336,27.77777778,17913.99989,0,0,440.1414723,4.9616732
766.2559858,25747.04672,27.77777778,17914.00003,0,0,440.1414723,4.9616732
767.7616031,25788.86942,27.77777778,17913.99989,0,0,440.1414723,4.9616732
769.3046253,25831.73115,27.77777778,17914.00003,0,0,440.1414723,4.9616732
770.8846717,25875.62133,27.77777778,17913.99989,0,0,440.1414723,4.9616732
772.5013525,25920.52913,27.77777778,17914.00003,0,0,440.1414723,4.9616732
774.1542688,25966.44347,27.77777778,17913.99989,0,0,440.1414723,4.9616732
775.8430127,26013.35302,27.77777778,17914.00003,0,0,440.1414723,4.9616732
777.5671675,26061.24621,27.77777778,17913.9999,0,0,440.1414723,4.9616732
779.3263079,26110.11123,27.77777778,17914.00003,0,0,440.1414723,4.9616732
781.1199998,26159.936,27.77777778,17913.9999,0,0,440.1414723,4.9616732
782.9478007,26210.70825,27.77777778,17914.00003,0,0,440.1414723,4.9616732
784.8092595,26262.41544,27.77777778,17913.9999,0,0,440.1414723,4.9616732
786.7039169,26315.04481,27.77777778,17914.00003,0,0,440.1414723,4.9616732
