Time [s],Position [m],Velocity [m/s],Force (acc) [N],Force (rgb) [N],Force (pnb) [N],Energy [kWh],CPU Time [s]
167.9261757,4596.906891,37.34956157,26702.91048,0,0,440.1406149,6.994639
176.1240287,4903.093109,37.34956157,26702.91051,0,0,440.1406149,6.994639
178.7186212,5000,37.34956157,26702.91062,0,0,440.1406149,6.994639
188.0734743,5349.399661,37.34956157,26702.91052,0,0,440.1406149,6.994639
206.5910747,6041.023919,37.34956157,26702.91054,0,0,440.1406149,6.994639
227.1232715,6807.892466,37.34956157,26702.91051,0,0,440.1406149,6.994639
241.831531,7357.23951,37.34956157,26702.91058,0,0,440.1406149,6.994639
245.6538112,7500,37.34956157,26702.9105,0,0,440.1406149,6.994639
259.8668655,8030.851346,37.34956157,26702.91052,0,0,440.1406149,6.994639
285.1812588,8976.332839,37.34956157,26702.91053,0,0,440.1406149,6.994639
306.6593493,9778.530101,37.34956157,26702.91056,0,0,440.1406149,6.994639
312.5890012,10000,37.34956157,26702.91055,0,0,440.1406149,6.994639
326.8020555,10530.85135,37.34956157,26702.91051,0,0,440.1406149,6.994639
352.1164488,11476.33284,37.34956157,26702.91054,0,0,440.1406149,6.994639
373.5945393,12278.5301,37.34956157,26702.91051,0,0,440.1406149,6.994639
379.5241912,12500,37.34956157,26702.91082,0,0,440.1406149,6.994639
393.7372455,13030.85135,37.34956157,26702.91041,0,0,440.1406149,6.994639
419.0516388,13976.33284,37.34956157,26702.91068,0,0,440.1406149,6.994639
440.5297293,14778.5301,37.34956157,26702.9101,0,0,440.1406149,6.994639
446.4593812,15000,37.34956156,26702.9125,0,0,440.1406149,6.994639
451.3492866,15182.63582,37.34956157,26702.91078,0,0,440.1406149,6.994639
461.9057565,15576.91534,37.34956157,26702.91046,0,0,440.1406149,6.994639
475.9997869,16103.3212,37.34956157,26702.91054,0,0,440.1406149,6.994639
490.8384369,16657.53827,37.34956157,26702.91054,0,0,440.1406149,6.994639
503.482902,17129.8035,37.34956157,26702.91046,0,0,440.1406149,6.994639
511.4322706,17426.70893,37.34956157,26702.9106,0,0,440.1406149,6.994639
513.3945712,17500,37.34956157,26702.9092,0,0,440.1406149,6.994639
519.3359231,17721.90689,37.34956157,26702.91144,0,0,440.1406149,6.994639
527.5337762,18028.09311,37.34956157,26702.90827,0,0,440.1406149,6.994639
530.1283687,18125,37.34956155,25220.71184,0,0,440.1406149,6.994639
532.4670819,18212.34992,37.34956158,27379.58014,0,0,440.1406149,6.994639
537.0964821,18385.25598,37.34956157,26007.99975,0,0,440.1406149,6.994639
542.2295312,18576.97312,37.34956157,27765.08167,0,0,440.1406149,6.994639
545.9065961,18714.30988,37.34956156,23430.58247,0,0,440.1406149,6.994639
546.8621662,18750,37.33759082,34436.96117,0,0,440.1406149,6.994639
548.0846421,18795.65896,37.35530436,29727.83859,0,0,440.1406149,6.994639
550.7237611,18894.22884,37.34293159,23721.85888,0,0,440.1406149,6.994639
554.2472644,19025.8303,37.36181091,31428.89741,0,0,440.1406149,6.994639
557.9569358,19164.38457,37.30453491,4879.950969,0,0,440.1406149,6.994639
561.1302042,19282.45088,37.09078563,0.00027508,0,0,440.1406149,6.994639
563.1349673,19356.67723,36.97702881,0.000242708,0,0,440.1406149,6.994639
563.6305277,19375,36.94032385,9.19E-05,0,0,440.1406149,6.994639
569.6688338,19596.90689,36.56032285,0,0,0,440.1406149,6.994639
578.1040235,19903.09311,36.03885331,0,0,0,440.1406149,6.994639
580.7991301,20000,35.87448946,0,0,0,440.1406149,6.994639
595.7845828,20530.85135,34.97978282,0,0,0,440.1406149,6.994639
623.4415038,21476.33284,33.40908621,0,0,0,440.1406149,6.994639
647.9379155,22278.5301,32.09798794,0,0,0,440.1406149,6.994639
654.876574,22500,31.73931085,0,0,0,440.1406149,6.994639
657.7390902,22590.64453,31.5929054,0,0,0,440.1406149,6.994639
664.2477632,22795.19745,31.26335052,0,0,0,440.1406149,6.994639
673.8451036,23092.94246,30.78567003,0,0,0,440.1406149,6.994639
685.7078497,23454.70691,30.20839839,0,0,0,440.1406149,6.994639
698.7647389,23845.074,29.5891692,0,0,0,440.1406149,6.994639
711.7653504,24225.83105,28.98869958,0,0,0,440.1406149,6.994639
723.3882627,24559.70836,28.46488007,0,0,0,440.1406149,6.994639
732.3858809,24814.03153,28.06749928,0,0,0,440.1406149,6.994639
737.7502779,24963.96898,27.83385568,0,0,0,440.1406149,6.994639
739.0460873,25000,27.77777792,0,0,0,440.1406149,6.994639
739.0460873,25000,27.77777778,17913.99996,0,0,440.1406149,6.994639
746.6903467,25212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
760.3052801,25590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
771.8569206,25911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
775.0460871,26000,27.77777778,17913.99997,0,0,440.1406149,6.994639
782.6903465,26212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
